round,avg_trust,trusturgency,avg_spoofed,avg_recovery,avg_coord_success,avg_violations,avg_distance,avg_duplicates,avg_bait,avg_exit_violations,reward_score,trust_weighted_coord,coalition_success
0,0.705,0.605,0.23,1.0,1.0,0.11,4.61,0.71,1,0,0.0,0.0,0.667
1,0.744,0.667,0.32,0.909,0.367,0.19,6.27,0.1,0,19,0.571,0.222,0.846
2,0.768,0.7,0.35,0.833,0.4,0.06,6.1,0.04,0,6,0.566,0.19,0.909
3,0.777,0.632,0.39,0.453,0.371,0.657,6.18,0.333,0,61,0.533,0.076,0.786
4,0.805,0.612,0.35,0.678,0.173,0.43,5.13,0.09,0,43,0.46,0.026,0.538
5,0.813,0.561,0.4,0.429,0.045,0.21,4.68,0.0,0,21,0.555,0.031,0.7
6,0.815,0.778,0.46,0.5,0.021,0.95,5.2,0.01,0,94,0.0,0.0,0.4
7,0.82,0.701,0.49,0.5,0.25,0.06,4.88,0.02,2,6,0.0,0.0,0.3
8,0.84,0.764,0.48,0.0,0.0,0.06,5.33,0.0,0,6,0.0,0.0,0.429
9,0.848,0.615,0.53,0.423,0.102,0.88,6.66,0.1,0,88,0.551,0.08,0.778
10,0.84,0.647,0.63,0.413,0.795,0.08,4.05,0.31,0,8,0.675,0.645,0.7
11,0.869,0.716,0.43,0.431,0.917,0.01,5.42,0.11,0,1,0.66,0.724,0.778
12,0.88,0.687,0.49,0.411,0.347,0.71,5.93,0.33,5,64,0.743,0.055,0.778
13,0.888,0.726,0.5,0.393,0.107,0.27,6.54,0.02,2,25,0.0,0.0,0.571
14,0.887,0.768,0.53,0.421,0.083,0.11,8.67,0.01,0,11,0.0,0.0,0.833
15,0.887,0.815,0.6,0.387,0.592,0.71,9.34,0.57,0,40,0.616,0.524,0.75
16,0.888,0.736,0.59,0.412,0.7,0.28,5.87,0.21,0,9,0.548,0.233,0.875
17,0.888,0.78,0.68,0.389,0.778,0.18,6.11,0.14,0,4,0.731,0.665,0.625
18,0.904,0.722,0.69,0.39,0.796,0.31,8.24,0.78,0,20,0.685,0.527,0.889
19,0.92,0.768,0.49,0.423,1.0,0.0,7.14,0.21,0,0,0.818,0.967,0.889
20,0.917,0.71,0.57,0.427,1.0,0.0,5.31,0.13,0,0,0.727,0.99,0.889
21,0.906,0.814,0.74,0.399,0.778,0.56,7.78,0.45,0,14,0.735,0.422,0.6
22,0.917,0.866,0.74,0.369,0.562,0.16,6.62,0.09,0,7,0.643,0.318,0.625
23,0.908,0.883,0.83,0.344,0.545,0.11,7.18,0.06,0,5,0.0,0.0,0.714
24,0.916,0.616,0.84,0.392,0.959,0.03,4.8,0.69,0,3,0.817,0.871,0.667
25,0.921,0.804,0.85,0.371,1.0,0.0,5.33,0.03,0,0,0.573,0.762,0.444
26,0.935,0.853,0.65,0.344,1.0,0.0,5.5,0.02,0,0,0.544,1.0,0.5
27,0.931,0.696,0.75,0.393,1.0,0.2,8.09,0.45,0,0,0.777,0.888,0.714
28,0.922,0.735,0.8,0.364,1.0,0.02,3.0,0.02,0,0,0.0,0.0,0.714
29,0.922,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.667
30,0.916,0.622,0.88,0.316,0.944,0.02,6.97,0.32,33,2,0.729,0.819,0.667
31,0.922,0.655,0.86,0.5,1.0,0.0,2.0,0.01,1,0,0.864,0.9,0.667
32,0.927,0.678,0.8,0.395,1.0,0.0,2.0,0.01,1,0,0.864,0.95,0.6
33,0.93,0.591,0.79,0.325,0.45,0.33,8.65,0.27,0,33,0.734,0.179,1.0
34,0.929,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
35,0.934,0.553,0.84,0.356,1.0,0.0,6.0,0.01,0,0,0.0,0.0,1.0
36,0.935,0.841,0.79,0.31,0.091,0.1,6.36,0.01,0,10,0.67,0.091,0.857
37,0.94,0.637,0.78,0.326,1.0,0.0,4.0,0.01,0,0,0.0,0.0,0.857
38,0.931,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.857
39,0.923,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.875
40,0.922,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.875
41,0.943,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
42,0.933,0.638,0.83,0.292,1.0,0.0,3.0,0.06,0,0,0.676,0.967,0.75
43,0.932,0.657,0.88,0.308,1.0,0.0,3.0,0.01,0,0,0.739,0.9,0.667
44,0.93,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.75
45,0.927,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.778
46,0.943,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.778
47,0.932,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.7
48,0.931,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.8
49,0.925,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.889
50,0.926,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
51,0.945,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
52,0.939,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
53,0.955,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.833
54,0.945,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.727
55,0.94,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.7
56,0.934,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.8
57,0.925,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.875
58,0.929,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.75
59,0.929,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.625
60,0.947,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.571
61,0.934,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.667
62,0.929,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.8
63,0.933,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.667
64,0.933,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.667
65,0.935,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.8
66,0.93,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
67,0.925,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.833
68,0.926,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.8
69,0.919,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.8
70,0.914,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.8
71,0.92,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.8
72,0.919,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
73,0.92,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
74,0.939,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
75,0.935,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.714
76,0.933,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.857
77,0.923,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
78,0.94,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.667
79,0.935,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.833
80,0.924,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0
81,0.914,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.8
82,0.909,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.833
83,0.917,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.667
